City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,narasannapeta,18.4167,84.05,80.8,78,99,6.8,IN,1691360406
83,olonkinbyen,70.9221,-8.7187,38.48,88,100,22.75,SJ,1691360229
84,st. john's,47.5649,-52.7093,61.68,95,100,9.22,CA,1691360406
85,piscu,45.5,27.7333,67.05,89,7,7.05,RO,1691360407
86,keflavik,64.0049,-22.5624,53.51,87,75,3.44,IS,1691360407
87,poronaysk,49.2167,143.1167,59.58,80,0,1.63,RU,1691360408
88,benghazi,32.1167,20.0667,80.28,64,4,12.8,LY,1691360408
89,bikenibeu village,1.3673,173.1241,87.76,70,20,4.61,KI,1691360409
90,anar darah,32.7587,61.654,83.84,28,0,17.72,AF,1691360409
91,illizi,26.4833,8.4667,96.6,20,0,5.86,DZ,1691360409
92,suva,-18.1416,178.4415,78.28,83,75,4.61,FJ,1691360410
93,bridgewater,44.3835,-64.5155,76.68,48,0,14.97,CA,1691360410
94,nagqu,31.5,92.0,36.81,88,59,4.18,CN,1691360411
95,tolanaro,-25.0319,46.9987,67.73,84,96,13.98,MG,1691360121
96,sao gabriel da cachoeira,-0.1303,-67.0892,81.72,78,96,1.72,BR,1691360411
97,dellys,36.9172,3.9131,76.5,70,0,12.48,DZ,1691360411
98,alice springs,-23.7,133.8833,38.75,87,0,0.0,AU,1691360412
99,susuman,62.7833,148.1667,39.74,83,100,6.6,RU,1691360140
100,changji,44.0167,87.3167,83.19,30,0,2.24,CN,1691360299
101,tahe,52.3333,124.7333,61.0,60,100,2.42,CN,1691360412
102,avarua,-21.2078,-159.775,71.65,94,100,14.97,CK,1691360413
103,whitehorse,60.7161,-135.0538,82.02,31,20,15.01,CA,1691360277
104,itoman,26.1247,127.6694,80.62,94,75,28.77,JP,1691360413
105,lebu,-37.6167,-73.65,51.55,80,0,4.07,CL,1691360413
106,klyuchi,52.2667,79.1667,62.37,91,38,7.09,RU,1691360276
107,morondava,-20.2833,44.2833,70.3,60,1,9.15,MG,1691360414
108,tiksi,71.6872,128.8694,45.61,56,65,3.65,RU,1691360414
109,ingeniero jacobacci,-41.3427,-69.5448,45.45,39,1,5.53,AR,1691360414
110,port lincoln,-34.7333,135.8667,50.22,79,72,6.22,AU,1691360415
111,namibe,-15.1961,12.1522,64.17,90,27,1.68,AO,1691360415
112,afaahiti,-17.75,-149.2833,82.27,75,46,10.49,PF,1691360415
113,luau,-10.7073,22.2247,66.09,34,0,4.68,AO,1691360415
114,arkhangel'sk,64.5401,40.5433,55.17,90,59,2.98,RU,1691360416
115,talnakh,69.4865,88.3972,60.21,62,7,5.03,RU,1691360416
116,moyynkum,44.2914,72.9469,79.65,40,100,10.89,KZ,1691360416
117,igarka,67.4667,86.5833,57.43,56,3,9.08,RU,1691360416
118,dudinka,69.4058,86.1778,60.62,66,17,3.83,RU,1691360417
119,dawesville,30.9224,-84.0091,90.01,74,75,8.05,US,1691360417
120,lihue,21.9789,-159.3672,87.39,64,40,12.66,US,1691360255
121,iskateley,67.6803,53.1512,56.44,96,19,7.34,RU,1691360417
122,mongoumba,3.6415,18.5936,72.54,98,100,2.95,CF,1691360417
123,gandai,21.6667,81.1,77.67,82,100,8.5,IN,1691360418
124,upper grand lagoon,30.1633,-85.7408,92.07,77,40,8.05,US,1691360418
125,chandler,33.3062,-111.8412,112.59,19,40,10.36,US,1691360418
126,invercargill,-46.4,168.35,45.01,87,66,10.0,NZ,1691360418
127,tepalcatepec,19.1833,-102.85,85.08,64,91,0.11,MX,1691360418
128,mhlume,-26.0333,31.85,56.59,85,0,1.23,SZ,1691360419
129,dazhou,31.2159,107.5009,76.71,90,19,4.27,CN,1691360419
130,bredasdorp,-34.5322,20.0403,49.89,95,0,3.15,ZA,1691360419
131,malango,-2.9627,119.9001,65.21,98,88,1.19,ID,1691360420
132,sola,-13.8833,167.55,77.16,77,97,20.15,VU,1691360420
133,yorkton,51.2167,-102.4677,76.84,41,0,9.22,CA,1691360420
134,iwanai,42.9744,140.5089,71.24,97,100,3.13,JP,1691360420
135,tofol,5.3248,163.0078,83.98,70,75,9.22,FM,1691360421
136,karratha,-20.7377,116.8463,69.58,47,31,10.67,AU,1691360421
137,nizhneudinsk,54.9076,99.0276,55.62,88,100,2.89,RU,1691360421
138,maragogi,-9.0122,-35.2225,75.31,86,64,13.4,BR,1691360421
139,chernyshevskiy,63.0128,112.4714,57.24,75,100,8.39,RU,1691360421
140,kudahuvadhoo,2.6708,72.8944,82.33,77,100,9.17,MV,1691360422
141,trail,49.0998,-117.7022,88.48,30,85,3.53,CA,1691360422
142,lazaro cardenas,17.9583,-102.2,86.38,67,78,6.4,MX,1691360422
143,nemuro,43.3236,145.575,58.33,98,100,12.64,JP,1691360130
144,tabou,4.423,-7.3528,76.28,87,26,5.1,CI,1691360423
145,as sulayyil,20.4607,45.5779,93.45,11,11,6.22,SA,1691360423
146,port mathurin,-19.6833,63.4167,72.68,59,79,22.97,MU,1691360215
147,vikulovo,56.8167,70.6107,57.25,75,0,4.52,RU,1691360424
148,khandyga,62.6667,135.6,59.23,48,42,9.64,RU,1691360424
149,artigas,-30.4,-56.4667,72.7,59,79,5.86,UY,1691360424
150,kerikeri,-35.2268,173.9474,54.91,95,100,3.22,NZ,1691360227
151,mogocha,53.7333,119.7667,58.91,70,100,0.34,RU,1691360425
152,weno,7.4515,151.8468,83.14,76,100,22.17,FM,1691360425
153,sydney,-33.8679,151.2073,55.31,81,75,11.5,AU,1691360284
154,luderitz,-26.6481,15.1594,62.31,65,0,8.34,NA,1691360426
155,north bend,43.4065,-124.2243,82.24,78,100,12.66,US,1691360427
156,port elizabeth,-33.918,25.5701,55.69,88,0,8.05,ZA,1691360427
157,san patricio,28.017,-97.5169,100.18,49,2,18.01,US,1691360428
158,jedlina-zdroj,50.7201,16.3465,56.14,100,100,8.95,PL,1691360429
159,longyearbyen,78.2186,15.6401,51.64,71,75,11.5,SJ,1691360210
160,borba,-4.3878,-59.5939,88.65,40,56,1.77,BR,1691360430
161,marsh harbour,26.5412,-77.0636,87.28,72,64,7.18,BS,1691360431
162,waingapu,-9.6567,120.2641,72.93,84,4,12.62,ID,1691360431
163,moramanga,-18.9333,48.2,55.76,92,96,3.47,MG,1691360432
164,ushuaia,-54.8,-68.3,27.57,93,75,6.96,AR,1691360223
165,paliyad,22.25,71.5667,79.09,80,100,16.37,IN,1691360432
166,napanee,44.2501,-76.9494,77.05,39,100,5.06,CA,1691360433
167,lambarene,-0.7001,10.2406,73.02,75,59,5.28,GA,1691360433
168,west island,-12.1568,96.8225,78.78,89,40,6.91,CC,1691360433
169,nova sintra,14.8667,-24.7167,73.11,80,63,10.76,CV,1691360434
170,mount pearl,47.5166,-52.7813,60.85,95,100,9.22,CA,1691360434
171,kirando,-7.4167,30.6,76.46,51,6,8.46,TZ,1691360435
172,palpa,-14.5336,-75.1856,77.0,46,0,5.46,PE,1691360435
173,wuwei,37.9281,102.6414,68.41,41,0,4.54,CN,1691360435
174,zhanjiang,21.2815,110.3427,79.7,85,76,9.13,CN,1691360436
175,margaret river,-33.95,115.0667,51.62,89,32,6.85,AU,1691360436
176,chonchi,-42.6128,-73.8092,45.12,91,47,1.12,CL,1691360437
177,raja,8.4596,25.678,69.35,95,81,2.06,SS,1691360437
178,yerofey pavlovich,53.9667,121.9667,59.85,66,100,2.06,RU,1691360437
179,ilulissat,69.2167,-51.1,50.02,53,21,3.44,GL,1691360438
180,fada,9.5667,8.3,67.84,99,100,3.18,NG,1691360438
181,ancud,-41.8697,-73.8203,43.52,86,12,6.46,CL,1691360438
182,sitka,57.0531,-135.33,64.29,88,100,6.91,US,1691360438
183,port saint john's,-31.6229,29.5448,64.02,79,2,11.32,ZA,1691360439
184,praia da vitoria,38.7333,-27.0667,73.65,83,20,7.7,PT,1691360439
185,baise city,23.8997,106.6133,77.5,98,100,1.25,CN,1691360440
186,jamestown,42.097,-79.2353,80.19,83,100,8.05,US,1691360300
187,panaba,21.2833,-88.2667,93.07,50,61,17.31,MX,1691360440
188,arar,30.9753,41.0381,91.42,8,0,17.27,SA,1691360440
189,uturoa,-16.7333,-151.4333,78.66,78,46,12.3,PF,1691360440
190,pirenopolis,-15.8525,-48.9592,79.29,23,0,6.42,BR,1691360441
191,ebon,4.582,168.6964,83.64,74,51,7.36,MH,1691360441
192,polyarnyy,69.1989,33.4478,52.43,79,16,9.22,RU,1691360441
193,flin flon,54.7682,-101.865,73.24,53,75,14.97,CA,1691360260
194,bratsk,56.1325,101.6142,54.09,87,100,3.96,RU,1691360442
195,chui,-33.6971,-53.4616,67.86,79,100,3.83,UY,1691360442
196,pisco,-13.7,-76.2167,69.85,73,0,18.41,PE,1691360442
197,korsakov,46.6328,142.7813,58.84,79,0,4.03,RU,1691360443
198,puerto baquerizo moreno,-0.9,-89.6,79.79,69,40,13.8,EC,1691360273
199,vorgashor,67.5833,63.95,60.91,98,100,5.32,RU,1691360443
200,labrador city,52.9463,-66.9114,58.91,77,100,4.61,CA,1691360410
201,grootfontein,-19.5667,18.1167,53.98,30,0,6.46,NA,1691360444
202,ta`u,-14.2336,-169.5144,80.47,76,36,8.12,AS,1691360444
203,kenora,49.8167,-94.4337,79.77,34,40,11.01,CA,1691360444
204,kingston,17.997,-76.7936,92.25,69,20,24.16,JM,1691360445
205,dajal,29.5577,70.3762,93.24,48,45,19.48,PK,1691360445
206,al jawf,29.5,38.75,81.34,14,0,10.49,SA,1691360445
207,beledweyne,4.7358,45.2036,76.41,69,47,20.56,SO,1691360446
208,brokopondo,4.75,-55.1667,87.31,61,32,2.55,SR,1691360446
209,zhezqazghan,47.7833,67.7667,74.05,47,29,6.87,KZ,1691360447
210,east london,-33.0153,27.9116,64.81,77,99,13.18,ZA,1691360447
211,douz,33.4663,9.0203,83.19,44,0,10.63,TN,1691360448
212,wad medani,14.4012,33.5199,82.85,58,38,10.69,SD,1691360448
213,bilibino,68.0546,166.4372,34.66,90,100,8.55,RU,1691360448
214,amga,60.8953,131.9608,62.38,50,10,3.89,RU,1691360449
215,pangoa,-12.1167,-73.0,82.72,52,5,1.79,PE,1691360449
216,smithers,54.7804,-127.1743,79.12,41,75,5.75,CA,1691360449
217,vanino,49.0869,140.2543,63.79,64,0,2.3,RU,1691360450
218,tamanrasset,22.785,5.5228,84.11,28,20,4.61,DZ,1691360450
219,hawaiian paradise park,19.5933,-154.9731,81.73,76,100,3.44,US,1691360451
220,winnemucca,40.973,-117.7357,89.65,8,0,17.27,US,1691360451
221,nuuk,64.1835,-51.7216,54.21,62,1,10.36,GL,1691360452
222,vega de alatorre,20.0333,-96.6333,87.39,69,55,14.9,MX,1691360452
223,gondia,21.45,80.2,74.8,92,100,7.72,IN,1691360338
224,palompon,11.0508,124.3843,81.07,80,50,4.05,PH,1691360453
225,iqaluit,63.7506,-68.5145,50.7,71,75,6.91,CA,1691360453
226,kogalym,62.2654,74.4791,63.5,56,6,5.17,RU,1691360453
227,udachny,66.4167,112.4,52.45,76,86,6.29,RU,1691360454
228,lasem,-6.6922,111.4527,73.99,84,27,6.85,ID,1691360454
229,luanda,-8.8368,13.2343,69.8,83,75,3.44,AO,1691360404
230,priozersk,61.0393,30.1291,68.09,96,28,8.9,RU,1691360455
231,chernyshevsk,52.5243,117.0174,61.57,57,100,1.68,RU,1691360455
232,yura,-16.2522,-71.6797,64.92,19,0,5.75,PE,1691360456
233,hadejia,12.4498,10.0444,79.05,66,89,7.11,NG,1691360456
234,kismayo,-0.3582,42.5454,75.79,83,66,17.65,SO,1691360456
235,quellon,-43.1167,-73.6167,43.05,87,0,2.3,CL,1691360457
236,tughyl,47.7252,84.2063,66.34,73,100,6.2,KZ,1691360457
237,novaya igirma,57.1334,103.9112,58.53,65,100,3.96,RU,1691360457
238,bougouni,11.417,-7.479,74.89,91,100,4.59,ML,1691360457
239,colac,-38.3333,143.5833,42.84,94,6,1.63,AU,1691360458
240,sibiti,-3.6819,13.3499,70.66,68,13,4.03,CG,1691360458
241,fale old settlement,-9.3852,-171.2468,83.57,71,75,11.41,TK,1691360458
242,mana,5.6592,-53.7767,80.65,82,6,13.09,GF,1691360458
243,carbonear,47.7332,-53.2148,62.15,92,100,8.46,CA,1691360459
244,laguna,38.421,-121.4238,105.04,22,0,12.66,US,1691360459
245,tazovsky,67.4667,78.7,55.98,62,15,5.64,RU,1691360459
246,new norfolk,-42.7826,147.0587,43.72,96,15,2.91,AU,1691360459
247,mathba,22.2855,89.9629,79.92,90,100,8.99,BD,1691360460
248,punta arenas,-53.15,-70.9167,34.66,69,22,18.63,CL,1691360460
249,qaqortoq,60.7167,-46.0333,42.76,88,23,4.21,GL,1691360461
250,traralgon,-38.1833,146.5333,41.77,91,15,1.86,AU,1691360461
251,la'ie,21.6477,-157.9253,87.76,63,5,4.0,US,1691360300
252,puerto madero,14.7208,-92.4215,91.6,66,0,10.36,MX,1691360462
253,northam,51.0333,-4.2167,59.67,89,4,9.06,GB,1691360463
254,kill devil hills,36.0307,-75.676,80.98,70,0,8.05,US,1691360464
255,kamloops,50.6665,-120.3192,94.57,19,20,2.3,CA,1691360188
256,jiwani,25.05,61.7417,81.28,81,99,6.85,PK,1691360465
257,noshiro,40.2039,140.0242,80.26,79,100,2.46,JP,1691360465
258,remire-montjoly,4.9167,-52.2667,82.44,78,0,9.22,GF,1691360465
259,fort bragg,35.139,-79.006,93.04,48,0,10.36,US,1691360466
260,cill airne,52.05,-9.5167,50.88,93,12,3.76,IE,1691360376
261,hotan,37.0997,79.9269,77.16,39,85,1.86,CN,1691360469
262,vadso,70.0744,29.7487,59.88,93,0,4.61,NO,1691360469
263,arti,56.4234,58.5328,59.49,97,4,4.29,RU,1691360469
264,saint croix,17.7397,-64.7388,88.25,62,20,18.41,VI,1691360471
265,al bardiyah,31.7561,25.0865,79.25,69,0,12.82,LY,1691360472
266,myadzyel,54.8731,26.9359,78.94,56,0,18.41,BY,1691360472
267,antsiranana,-12.2787,49.2917,72.07,73,6,18.21,MG,1691360473
268,costa rica,-23.4167,-54.65,75.42,35,0,5.57,BR,1691360473
269,veinticinco de mayo,-35.4323,-60.1727,55.98,52,45,1.01,AR,1691360474
270,axim,4.8699,-2.2405,75.0,91,58,6.62,GH,1691360474
271,pontianak,-0.0333,109.3333,75.18,94,40,2.3,ID,1691360474
272,veraval,20.9,70.3667,80.15,84,99,19.8,IN,1691360475
273,la passe,45.5549,-0.8967,62.98,81,62,9.66,FR,1691360477
274,inongo,-1.95,18.2667,74.55,66,63,6.26,CD,1691360477
275,akureyri,65.6835,-18.0878,55.33,71,40,0.0,IS,1691360477
276,mungyeong,36.5946,128.1995,81.77,93,99,1.97,KR,1691360478
277,lompoc,34.6391,-120.4579,92.79,82,20,10.36,US,1691360478
278,yuzhno-kurilsk,44.0306,145.8556,58.3,97,100,6.78,RU,1691360479
279,ha'il,27.5219,41.6907,89.62,17,0,6.91,SA,1691360479
280,dunedin,-45.8742,170.5036,51.08,70,54,1.99,NZ,1691360206
281,badger,64.8,-147.5333,79.52,41,100,5.75,US,1691360480
282,plastun,44.7561,136.2939,62.96,74,71,3.33,RU,1691360480
283,rockland,41.1668,-74.0496,84.42,58,37,5.99,US,1691360480
284,cianorte,-23.6633,-52.605,70.21,42,0,3.87,BR,1691360480
285,quezon,7.7303,125.0989,72.7,97,100,1.05,PH,1691360481
286,brookings,44.3114,-96.7984,70.38,91,75,11.5,US,1691360353
287,sol'tsy,58.1239,30.3238,75.83,70,16,9.51,RU,1691360481
288,kushikino,31.7167,130.2667,83.66,82,83,7.45,JP,1691360481
